gain,integrationtime,UVA,UVB,UVC,temp,AccX,AccY,AccZ,GYRO_X,GYRO_Y,GYRO_Z,input1,input2,day,month,year,hour,minute,second,VISgain,VISintegrationtime,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,c_CH1,c_CH2,c_CH3,c_CH4,c_CH5,c_CH6,c_CH7,c_CH8,c_CH9,c_CH10,c_CH11,c_CH12,c_CH13,c_CH14,c_CH15,c_CH16,c_CH17,c_CH18,temp1,temp2,temp3,Label,uiI2CReadError,uiI2CWriteError,uiStatus1,uiStatus2,Label.1,uiI2CReadError.1,uiI2CWriteError.1,Label.2,uiI2CError,uiI2CReadDetailError,uiI2CWriteDetailError
   2, 4096,  162,  123, 4370, 25.1,  0.97, -0.01, -0.17,    0.7,   -0.7,   -2.0,0,0,13,05,2024,16,19,30,  3,255,  147,   47,   65,  385,  936,  198,  147,   47,  147,   65,   47,  385,   65,  385,  936,  198,  936,  198,  144.0,   49.0,   54.3,  307.6,  767.1,  207.7,  144.0,   49.0,  144.0,   54.3,   49.0,  307.6,   54.3,  307.6,  767.1,  207.7,  767.1,  207.7, 26, 27, 27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
   2, 4096,  163,  123, 4375, 25.1,  0.97, -0.01, -0.18,    0.7,   -0.5,   -1.9,0,0,13,05,2024,16,19,40,  3,255,  147,   47,   65,  387,  936,  198,  147,   47,  147,   65,   47,  387,   65,  387,  936,  198,  936,  198,  144.0,   49.0,   54.3,  309.2,  767.1,  207.7,  144.0,   49.0,  144.0,   54.3,   49.0,  309.2,   54.3,  309.2,  767.1,  207.7,  767.1,  207.7, 27, 27, 28,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
   2, 4096,  163,  123, 4376, 25.1,  0.97, -0.00, -0.17,    0.8,   -0.6,   -1.9,0,0,13,05,2024,16,19,50,  3,255,  146,   47,   65,  385,  934,  198,  146,   47,  146,   65,   47,  385,   65,  385,  934,  198,  934,  198,  143.0,   49.0,   54.3,  307.6,  765.5,  207.7,  143.0,   49.0,  143.0,   54.3,   49.0,  307.6,   54.3,  307.6,  765.5,  207.7,  765.5,  207.7, 27, 27, 27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
   2, 4096,  163,  123, 4376, 25.1,  0.97, -0.01, -0.18,    0.8,   -0.6,   -2.1,0,0,13,05,2024,16,20,00,  3,255,  146,   47,   65,  387,  935,  198,  146,   47,  146,   65,   47,  387,   65,  387,  935,  198,  935,  198,  143.0,   49.0,   54.3,  309.2,  766.3,  207.7,  143.0,   49.0,  143.0,   54.3,   49.0,  309.2,   54.3,  309.2,  766.3,  207.7,  766.3,  207.7, 27, 28, 28,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
   2, 4096,  163,  123, 4376, 25.1,  0.97, -0.01, -0.17,    0.9,   -0.6,   -2.1,0,0,13,05,2024,16,20,10,  3,255,  147,   47,   66,  388,  935,  199,  147,   47,  147,   66,   47,  388,   66,  388,  935,  199,  935,  199,  144.0,   49.0,   55.1,  310.0,  766.3,  208.8,  144.0,   49.0,  144.0,   55.1,   49.0,  310.0,   55.1,  310.0,  766.3,  208.8,  766.3,  208.8, 27, 27, 27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
   2, 4096,  163,  123, 4378, 25.1,  0.97, -0.01, -0.18,    0.8,   -0.7,   -2.0,0,0,13,05,2024,16,20,20,  3,255,  147,   47,   65,  388,  936,  199,  147,   47,  147,   65,   47,  388,   65,  388,  936,  199,  936,  199,  144.0,   49.0,   54.3,  310.0,  767.1,  208.8,  144.0,   49.0,  144.0,   54.3,   49.0,  310.0,   54.3,  310.0,  767.1,  208.8,  767.1,  208.8, 26, 27, 27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
   2, 4096,  163,  123, 4375, 25.1,  0.97, -0.02, -0.18,    0.7,   -0.6,   -1.9,0,0,13,05,2024,16,20,30,  3,255,  146,   47,   65,  388,  936,  198,  146,   47,  146,   65,   47,  388,   65,  388,  936,  198,  936,  198,  143.0,   49.0,   54.3,  310.0,  767.1,  207.7,  143.0,   49.0,  143.0,   54.3,   49.0,  310.0,   54.3,  310.0,  767.1,  207.7,  767.1,  207.7, 27, 27, 27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
   2, 4096,  163,  123, 4377, 25.1,  0.97, -0.02, -0.17,    0.9,   -0.5,   -2.1,0,0,13,05,2024,16,20,40,  3,255,  147,   47,   65,  388,  936,  199,  147,   47,  147,   65,   47,  388,   65,  388,  936,  199,  936,  199,  144.0,   49.0,   54.3,  310.0,  767.1,  208.8,  144.0,   49.0,  144.0,   54.3,   49.0,  310.0,   54.3,  310.0,  767.1,  208.8,  767.1,  208.8, 27, 27, 27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
   2, 4096,  163,  123, 4376, 25.1,  0.98, -0.01, -0.17,    0.7,   -0.6,   -2.2,0,0,13,05,2024,16,20,50,  3,255,  146,   47,   65,  388,  937,  199,  146,   47,  146,   65,   47,  388,   65,  388,  937,  199,  937,  199,  143.0,   49.0,   54.3,  310.0,  768.0,  208.8,  143.0,   49.0,  143.0,   54.3,   49.0,  310.0,   54.3,  310.0,  768.0,  208.8,  768.0,  208.8, 27, 27, 28,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
   2, 4096,  163,  123, 4376, 25.1,  0.98, -0.01, -0.16,    0.8,   -0.5,   -2.3,0,0,13,05,2024,16,21,00,  3,255,  146,   47,   65,  388,  936,  199,  146,   47,  146,   65,   47,  388,   65,  388,  936,  199,  936,  199,  143.0,   49.0,   54.3,  310.0,  767.1,  208.8,  143.0,   49.0,  143.0,   54.3,   49.0,  310.0,   54.3,  310.0,  767.1,  208.8,  767.1,  208.8, 27, 27, 27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
