current,gain,integration time,UVA,UVB,UVC
0,  16,    2,    0,    0,    0
0,   2,   16,    0,    0,    0
0,  64,  512,    0,    0,    0
0, 512,   64,    0,    0,    0
0,  16, 2048,    1,    1,    1
0,2048,   16,    0,    0,    0
0,   8, 8192,    1,    1,    1
0,   2,16384,    1,    1,    1
0,   1,16384,    1,    1,    1
2,   4,    2,    1,    1,    5
2,  16,    2,    1,    1,   17
2,   2,   16,    1,    1,   16
2,2048,   16,  599,  443,15432
2,  64,  512,  630,  479,17262
2,  16, 2048,  627,  476,17112
2,   2,    4,    1,    1,    5
2, 512,   64,  606,  455,17736
2,   4, 8192,  630,  475,17093
2,   8, 8192, 1265,  954,34317
2,   2,16384,  631,  476,17082
2,   1,16384,  315,  237, 8511
4,   4,    2,    1,    1,    7
4,  16,    2,    1,    1,   33
4,   2,   16,    2,    1,   33
4,2048,   16, 1115,  777,16383
4,  64,  512, 1093,  780,33736
4,  16, 2048, 1092,  778,33682
4,   2,    4,    1,    1,    9
4, 512,   64, 1115,  803,34134
4,   4, 8192, 1098,  776,33682
4,   8, 8192, 2198, 1552,65535
4,   2,16384, 1095,  772,33778
4,   1,16384,  545,  384,16845
6,   4,    2,    1,    1,   11
6,  16,    2,    2,    1,   45
6,   2,   16,    2,    1,   44
6,2048,   16, 1409,  937,16383
6,  64,  512, 1417,  965,45966
6,  16, 2048, 1414,  960,45786
6,   4, 8192, 1422,  959,45785
6,   8, 8192, 2848, 1919,65535
6,   2,16384, 1419,  955,45859
6,   1,16384,  707,  476,22862
6,   2,    4,    1,    1,   12
6, 512,   64, 1453,  998,46746
8,   4,    2,    1,    1,   14
8,  16,    2,    2,    1,   54
8,   2,   16,    2,    2,   54
8,2048,   16, 1751, 1122,16383
8,  64,  512, 1713, 1127,55235
8,  16, 2048, 1712, 1123,54984
8,   4, 8192, 1721, 1122,54989
8,   8, 8192, 3448, 2247,65535
8,   2,16384, 1719, 1119,55026
8,   1,16384,  856,  557,27423
8,   2,    4,    1,    1,   14
8, 512,   64, 1757, 1167,56003

