wavelength;intensity;divided by 50
171,283;-33,95;-0,679
171,67;-33,95;-0,679
172,056;-33,95;-0,679
172,443;-125,1;-2,502
172,829;-126,65;-2,533
173,216;-116,29;-2,3258
173,602;-92,99;-1,8598
173,989;-67,1;-1,342
174,375;-82,63;-1,6526
174,762;-105,42;-2,1084
175,148;-63,47;-1,2694
175,534;-23,08;-0,4616
175,921;-51,56;-1,0312
176,307;-15,31;-0,3062
176,693;4,37;0,0874
177,08;16,8;0,336
177,466;23,53;0,4706
177,852;64,44;1,2888
178,238;81,01;1,6202
178,624;98,1;1,962
179,01;93,96;1,8792
179,396;119,33;2,3866
179,782;190,28;3,8056
180,168;154,03;3,0806
180,554;184,58;3,6916
180,94;239,48;4,7896
181,326;222,39;4,4478
181,712;280,91;5,6182
182,098;276,25;5,525
182,484;232,75;4,655
182,87;292,3;5,846
183,255;291,78;5,8356
183,641;269,51;5,3902
184,027;335,8;6,716
184,413;321,82;6,4364
184,798;316,12;6,3224
185,184;332,69;6,6538
185,57;332,17;6,6434
185,955;294,89;5,8978
186,341;330,1;6,602
186,726;328,55;6,571
187,112;349,26;6,9852
187,497;329,07;6,5814
187,883;348,23;6,9646
188,268;343,05;6,861
188,653;338,39;6,7678
189,039;344,08;6,8816
189,424;319,23;6,3846
189,809;340,98;6,8196
190,195;322,85;6,457
190,58;348,23;6,9646
190,965;347,71;6,9542
191,35;332,69;6,6538
191,735;343,05;6,861
192,12;337,87;6,7574
192,505;341,5;6,83
192,891;314,57;6,2914
193,276;320,26;6,4052
193,661;306,28;6,1256
194,046;336,83;6,7366
194,43;292,82;5,8564
194,815;323,89;6,4778
195,2;331,14;6,6228
195,585;308,87;6,1774
195,97;309,91;6,1982
196,355;284,53;5,6906
196,739;328,55;6,571
197,124;306,28;6,1256
197,509;293,85;5,877
197,894;294,89;5,8978
198,278;285,57;5,7114
198,663;297,48;5,9496
199,047;290,75;5,815
199,432;306,28;6,1256
199,816;364,28;7,2856
200,201;333,73;6,6746
200,585;316,12;6,3224
200,97;303,69;6,0738
201,354;297,48;5,9496
201,739;289,71;5,7942
202,123;282,98;5,6596
202,507;303,69;6,0738
202,892;296,96;5,9392
203,276;279,35;5,587
203,66;320,26;6,4052
204,044;329,58;6,5916
204,428;289,71;5,7942
204,813;334,25;6,685
205,197;298;5,96
205,581;295,92;5,9184
205,965;286,6;5,732
206,349;300,07;6,0014
206,733;284,01;5,6802
207,117;311,46;6,2292
207,501;285,05;5,701
207,885;329,58;6,5916
208,269;319,75;6,395
208,652;321,3;6,426
209,036;342,53;6,8506
209,42;322,85;6,457
209,804;334,25;6,685
210,187;283,5;5,67
210,571;301,1;6,022
210,955;328,03;6,5606
211,338;278,32;5,5664
211,722;295,41;5,9082
212,106;325,96;6,5192
212,489;279,87;5,5974
212,873;317,16;6,3432
213,256;311,98;6,2396
213,64;301,1;6,022
214,023;321,3;6,426
214,406;356;7,12
214,79;327,51;6,5502
215,173;343,05;6,861
215,556;334,76;6,6952
215,94;282,46;5,6492
216,323;336,32;6,7264
216,706;332,17;6,6434
217,089;328,55;6,571
217,472;318,19;6,3638
217,856;318,19;6,3638
218,239;307,32;6,1464
218,622;345,64;6,9128
219,005;328,55;6,571
219,388;330,1;6,602
219,771;339,42;6,7884
220,154;381,37;7,6274
220,537;335,28;6,7056
220,919;346,67;6,9334
221,302;342,53;6,8506
221,685;346,16;6,9232
222,068;320,26;6,4052
222,451;337,35;6,747
222,833;343,57;6,8714
223,216;320,78;6,4156
223,599;370,5;7,41
223,981;344,08;6,8816
224,364;322,85;6,457
224,746;353,41;7,0682
225,129;362,21;7,2442
225,512;295,92;5,9184
225,894;337,35;6,747
226,276;358,07;7,1614
226,659;362,73;7,2546
227,041;357,03;7,1406
227,424;349,26;6,9852
227,806;379,82;7,5964
228,188;348,23;6,9646
228,57;334,25;6,685
228,953;314,57;6,2914
229,335;341,5;6,83
229,717;313,53;6,2706
230,099;346,16;6,9232
230,481;361,17;7,2234
230,863;366,87;7,3374
231,245;354,96;7,0992
231,627;388,62;7,7724
232,009;331,66;6,6332
232,391;345,64;6,9128
232,773;353,41;7,0682
233,155;392,25;7,845
233,537;377,75;7,555
233,919;376,19;7,5238
234,301;336,32;6,7264
234,682;364,28;7,2856
235,064;364,28;7,2856
235,446;365,83;7,3166
235,828;363,76;7,2752
236,209;366,35;7,327
236,591;391,21;7,8242
236,972;360,14;7,2028
237,354;389,14;7,7828
237,736;362,73;7,2546
238,117;364,28;7,2856
238,498;373,08;7,4616
238,88;375,16;7,5032
239,261;371,53;7,4306
239,643;365,83;7,3166
240,024;392,25;7,845
240,405;386,03;7,7206
240,787;416,07;8,3214
241,168;402,08;8,0416
241,549;369,46;7,3892
241,93;401,57;8,0314
242,311;386,03;7,7206
242,692;392,25;7,845
243,073;399,5;7,99
243,455;417,1;8,342
243,836;458,53;9,1706
244,217;466,3;9,326
244,597;472;9,44
244,978;481,84;9,6368
245,359;521,19;10,4238
245,74;518,09;10,3618
246,121;601,98;12,0396
246,502;611,3;12,226
246,883;629,94;12,5988
247,263;617,51;12,3502
247,644;706,59;14,1318
248,025;794,1;15,882
248,405;1060,8;21,216
248,786;1776,48;35,5296
249,166;3730,36;74,6072
249,547;7210,89;144,2178
249,927;12115,53;242,3106
250,308;18413,21;368,2642
250,688;24251,54;485,0308
251,069;28640,39;572,8078
251,449;31564,74;631,2948
251,83;33144,73;662,8946
252,21;34400,02;688,0004
252,59;35242,05;704,841
252,97;36303,66;726,0732
253,351;37538,76;750,7752
253,731;38220,26;764,4052
254,111;39389,07;787,7814
254,491;40263,73;805,2746
254,871;40652,64;813,0528
255,251;41405,09;828,1018
255,631;41772,25;835,445
256,011;42251,79;845,0358
256,391;42920,86;858,4172
256,771;42424,75;848,495
257,151;42403;848,06
257,531;41274,07;825,4814
257,911;38762,98;775,2596
258,291;34421,77;688,4354
258,67;28422,89;568,4578
259,05;21278;425,56
259,43;14977,21;299,5442
259,81;9485,32;189,7064
260,189;4974,26;99,4852
260,569;2125,52;42,5104
260,948;1251,89;25,0378
261,328;1006,94;20,1388
261,707;902,34;18,0468
262,087;847,44;16,9488
262,466;775,46;15,5092
262,846;714,87;14,2974
263,225;656,35;13,127
263,605;680,17;13,6034
263,984;669,82;13,3964
264,363;653,76;13,0752
264,742;615,44;12,3088
265,122;609,75;12,195
265,501;587,48;11,7496
265,88;532,07;10,6414
266,259;580,75;11,615
266,638;587,48;11,7496
267,017;555,37;11,1074
267,396;556,92;11,1384
267,775;570,91;11,4182
268,154;543,98;10,8796
268,533;566,25;11,325
268,912;552,78;11,0556
269,291;509,8;10,196
269,67;580,75;11,615
270,049;552,78;11,0556
270,427;520,67;10,4134
270,806;552,78;11,0556
271,185;496,85;9,937
271,563;502,55;10,051
271,942;530;10,6
272,321;538,28;10,7656
272,699;530,51;10,6102
273,078;552,78;11,0556
273,456;566,76;11,3352
273,835;547,09;10,9418
274,213;552,26;11,0452
274,592;564,69;11,2938
274,97;567,8;11,356
275,348;571,42;11,4284
275,727;592,14;11,8428
276,105;567,8;11,356
276,483;560,55;11,211
276,861;562,62;11,2524
277,24;557,44;11,1488
277,618;584,89;11,6978
277,996;617,51;12,3502
278,374;606,12;12,1224
278,752;636,16;12,7232
279,13;618,55;12,371
279,508;597,84;11,9568
279,886;603,01;12,0602
280,264;607,16;12,1432
280,642;590,59;11,8118
281,02;615,96;12,3192
281,397;611,3;12,226
281,775;572,98;11,4596
282,153;617;12,34
282,531;612,85;12,257
282,908;612,85;12,257
283,286;575,05;11,501
283,664;567,8;11,356
284,041;605,09;12,1018
284,419;577,64;11,5528
284,796;579,71;11,5942
285,174;583,85;11,677
285,551;622,69;12,4538
285,929;586,96;11,7392
286,306;631,5;12,63
286,683;643,41;12,8682
287,061;626,32;12,5264
287,438;603,01;12,0602
287,815;574,53;11,4906
288,192;643,92;12,8784
288,569;614,92;12,2984
288,947;612,34;12,2468
289,324;605,09;12,1018
289,701;566,76;11,3352
290,078;588;11,76
290,455;596,8;11,936
290,832;607,67;12,1534
291,209;558,48;11,1696
291,586;618,55;12,371
291,963;664,12;13,2824
292,339;765,1;15,302
292,716;883,18;17,6636
293,093;989,34;19,7868
293,47;1129,68;22,5936
293,846;1222,37;24,4474
294,223;1250,34;25,0068
294,6;1207,35;24,147
294,976;1300,05;26,001
295,353;1266,91;25,3382
295,729;1290,73;25,8146
296,106;1271,05;25,421
296,482;1295,91;25,9182
296,859;1343,03;26,8606
297,235;1307,82;26,1564
297,612;1346,66;26,9332
297,988;1413,46;28,2692
298,364;1437,28;28,7456
298,741;1419,16;28,3832
299,117;1424,34;28,4868
299,493;1418,64;28,3728
299,869;1375,14;27,5028
300,245;1373,07;27,4614
300,621;1364,78;27,2956
300,997;1283,48;25,6696
301,373;1173,18;23,4636
301,749;1019,89;20,3978
302,125;942,21;18,8442
302,501;830,87;16,6174
302,877;758,89;15,1778
303,253;663,09;13,2618
303,629;647,03;12,9406
304,005;657,91;13,1582
304,38;627,35;12,547
304,756;613,37;12,2674
305,132;626,84;12,5368
305,508;626,84;12,5368
305,883;603,53;12,0706
306,259;601,46;12,0292
306,634;548,64;10,9728
307,01;552,26;11,0452
307,385;607,16;12,1432
307,761;695,71;13,9142
308,136;987,26;19,7452
308,512;1446,09;28,9218
308,887;2144,16;42,8832
309,262;2861,4;57,228
309,637;3459,52;69,1904
310,013;3924,56;78,4912
310,388;4160,7;83,214
310,763;4362,15;87,243
311,138;4458,99;89,1798
311,513;4587,94;91,7588
311,888;4623,67;92,4734
312,263;4646,97;92,9394
312,638;4727,76;94,5552
313,013;4697,72;93,9544
313,388;4740,19;94,8038
313,763;4766,08;95,3216
314,138;4684,78;93,6956
314,513;4739,15;94,783
314,888;4713,26;94,2652
315,262;4647,49;92,9498
315,637;4611,24;92,2248
316,012;4561,52;91,2304
316,386;4391,67;87,8334
316,761;4106,84;82,1368
317,136;3762,99;75,2598
317,51;3205,25;64,105
317,885;2659,95;53,199
318,259;2098,07;41,9614
318,634;1551,21;31,0242
319,008;1142,62;22,8524
319,382;817,93;16,3586
319,757;620,62;12,4124
320,131;530,51;10,6102
320,505;469,92;9,3984
320,88;470,96;9,4192
321,254;474,07;9,4814
321,628;451,8;9,036
322,002;425,39;8,5078
322,376;431,6;8,632
322,75;444,03;8,8806
323,124;422,8;8,456
323,498;410,89;8,2178
323,872;404,67;8,0934
324,246;397,42;7,9484
324,62;391,21;7,8242
324,994;440,41;8,8082
325,368;418,14;8,3628
325,741;423,83;8,4766
326,115;401,57;8,0314
326,489;381,37;7,6274
326,862;430,05;8,601
327,236;382,92;7,6584
327,61;402,6;8,052
327,983;415,03;8,3006
328,357;393,28;7,8656
328,73;393,8;7,876
329,104;410,89;8,2178
329,477;411,41;8,2282
329,851;451,28;9,0256
330,224;478,21;9,5642
330,597;499,44;9,9888
330,97;518,09;10,3618
331,344;532,07;10,6414
331,717;525,34;10,5068
332,09;542,42;10,8484
332,463;540,87;10,8174
332,836;513,42;10,2684
333,209;556,92;11,1384
333,582;548,12;10,9624
333,955;526,89;10,5378
334,328;543,46;10,8692
334,701;511,35;10,227
335,074;563,14;11,2628
335,447;551,75;11,035
335,82;509,28;10,1856
336,193;519,12;10,3824
336,565;560,55;11,211
336,938;522,23;10,4446
337,311;526,37;10,5274
337,683;524,82;10,4964
338,056;523,26;10,4652
338,429;539,32;10,7864
338,801;528,44;10,5688
339,174;469,92;9,3984
339,546;443,51;8,8702
339,918;429,53;8,5906
340,291;450,25;9,005
340,663;419,17;8,3834
341,036;436,26;8,7252
341,408;421,76;8,4352
341,78;425,39;8,5078
342,152;426,42;8,5284
342,524;436,78;8,7356
342,897;422,8;8,456
343,269;435,75;8,715
343,641;426,94;8,5388
344,013;432,64;8,6528
344,385;409,85;8,197
344,757;450,25;9,005
345,129;423,32;8,4664
345,501;417,62;8,3524
345,872;406,75;8,135
346,244;398,46;7,9692
346,616;425,39;8,5078
346,988;397,94;7,9588
347,359;447,14;8,9428
347,731;452,32;9,0464
348,103;424,35;8,487
348,474;447,66;8,9532
348,846;446,62;8,9324
349,217;459,05;9,181
349,589;440,92;8,8184
349,96;484,42;9,6884
350,332;470,44;9,4088
350,703;486,5;9,73
351,074;432,12;8,6424
351,446;492,19;9,8438
351,817;470,44;9,4088
352,188;482,87;9,6574
352,559;465,78;9,3156
352,931;499,44;9,9888
353,302;498,92;9,9784
353,673;482,87;9,6574
354,044;535,69;10,7138
354,415;517,57;10,3514
354,786;553,82;11,0764
355,157;523,26;10,4652
355,528;557,44;11,1488
355,898;548,64;10,9728
356,269;601,98;12,0396
356,64;593,17;11,8634
357,011;563,66;11,2732
357,382;562,1;11,242
357,752;600,94;12,0188
358,123;624,25;12,485
358,493;680,17;13,6034
358,864;673,44;13,4688
359,235;685,87;13,7174
359,605;761,48;15,2296
359,976;966,55;19,331
360,346;1453,34;29,0668
360,716;2210,45;44,209
361,087;3202,66;64,0532
361,457;4180,9;83,618
361,827;5103,72;102,0744
362,198;5869,64;117,3928
362,568;6340,37;126,8074
362,938;6597,74;131,9548
363,308;6810,07;136,2014
363,678;6994,42;139,8884
364,048;7069,51;141,3902
364,418;7154,96;143,0992
364,788;7153,41;143,0682
365,158;7232,12;144,6424
365,528;7142,01;142,8402
365,898;7215,55;144,311
366,268;7202,6;144,052
366,637;7209,34;144,1868
367,007;7176,71;143,5342
367,377;7153,92;143,0784
367,747;7178,26;143,5652
368,116;7097,48;141,9496
368,486;6957,14;139,1428
368,855;6570,82;131,4164
369,225;6012,56;120,2512
369,595;5340,9;106,818
369,964;4650,08;93,0016
370,333;3904,88;78,0976
370,703;3225,45;64,509
371,072;2751,09;55,0218
371,441;2276,21;45,5242
371,811;1914,75;38,295
372,18;1687,93;33,7586
372,549;1488,55;29,771
372,918;1468,87;29,3774
373,287;1390,68;27,8136
373,656;1426,93;28,5386
374,026;1454,37;29,0874
374,395;1454,89;29,0978
374,764;1405,69;28,1138
375,132;1504,09;30,0818
375,501;1505,64;30,1128
375,87;1535,16;30,7032
376,239;1533,61;30,6722
376,608;1546,03;30,9206
376,977;1603,52;32,0704
377,345;1646,5;32,93
377,714;1646,5;32,93
378,083;1677,05;33,541
378,451;1722,62;34,4524
378,82;1744,37;34,8874
379,188;1734,53;34,6906
379,557;1723,14;34,4628
379,925;1747,48;34,9496
380,294;1759,91;35,1982
380,662;1839,14;36,7828
381,03;1786,84;35,7368
381,399;1859,86;37,1972
381,767;1868,14;37,3628
382,135;1855,71;37,1142
382,503;1922,52;38,4504
382,871;1945,82;38,9164
383,24;1876,95;37,539
383,608;1947,37;38,9474
383,976;2014,7;40,294
384,344;1956,18;39,1236
384,712;2013,14;40,2628
385,079;2065,45;41,309
385,447;2039,55;40,791
385,815;2029,2;40,584
386,183;2078,91;41,5782
386,551;2112,05;42,241
386,918;2090,3;41,806
387,286;2110,5;42,21
387,654;2082,54;41,6508
388,021;2087,71;41,7542
388,389;2090,82;41,8164
388,757;2122,93;42,4586
389,124;2179,38;43,5876
389,491;2147,27;42,9454
389,859;2156,07;43,1214
390,226;2123,96;42,4792
390,594;2121,38;42,4276
390,961;2172,13;43,4426
391,328;2244,11;44,8822
391,695;2191,29;43,8258
392,063;2217,18;44,3436
392,43;2241;44,82
392,797;2222,88;44,4576
393,164;2222,36;44,4472
393,531;2260,16;45,2032
393,898;2237,38;44,7476
394,265;2212,52;44,2504
394,632;2204,75;44,095
394,999;2214,07;44,2814
395,366;2274,66;45,4932
395,732;2247,21;44,9442
396,099;2263,27;45,2654
396,466;2273,11;45,4622
396,833;2251,88;45,0376
397,199;2268,45;45,369
397,566;2260,16;45,2032
397,932;2261,71;45,2342
398,299;2218,73;44,3746
398,665;2325,93;46,5186
399,032;2379,27;47,5854
399,398;2496,82;49,9364
399,765;2927,16;58,5432
400,131;3912,65;78,253
400,497;5080,94;101,6188
400,864;6413,9;128,278
401,23;7544,91;150,8982
401,596;8337,75;166,755
401,962;8769,64;175,3928
402,328;9183,41;183,6682
402,694;9295,27;185,9054
403,06;9492,57;189,8514
403,426;9601,32;192,0264
403,792;9716,29;194,3258
404,158;9732,34;194,6468
404,524;9699,72;193,9944
404,89;9688,32;193,7664
405,256;9740,11;194,8022
405,622;9883,56;197,6712
405,987;9673,82;193,4764
406,353;9745,29;194,9058
406,719;9410,75;188,215
407,084;9582,16;191,6432
407,45;9379,16;187,5832
407,815;9183,93;183,6786
408,181;8758,25;175,165
408,546;8362,61;167,2522
408,912;7344,5;146,89
409,277;6357,46;127,1492
409,642;5433,08;108,6616
410,008;4701,86;94,0372
410,373;4054,02;81,0804
410,738;3614,88;72,2976
