intensity;wavelength;380nm;390nm;400nm;410nm;420nm;430nm;440nm;450nm;460nm;470nm;480nm;490nm;500nm;510nm;520nm;530nm;540nm;550nm;560nm;570nm;580nm;590nm;600nm;610nm;620nm;630nm;640nm;650nm;660nm;670nm;680nm;690nm;700nm;710nm;720nm;730nm;740nm;750nm;760nm;770nm;780nm
5;380;1,60E-05;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;1,13E-06;0,00E+00;0,00E+00;0,00E+00;0,00E+00;5,66E-07;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;5,66E-07;0,00E+00;0,00E+00;6,64E-06;0,00E+00;0,00E+00;0,00E+00;5,66E-07;0,00E+00;0,00E+00;0,00E+00;2,35E-05;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
5;381;2,07E-05;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;9,59E-07;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;9,59E-07;0,00E+00;9,59E-07;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;1,34E-05;9,59E-07;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;2,31E-05;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
5;382;3,97E-05;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;6,83E-08;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;6,83E-08;0,00E+00;1,24E-06;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;1,17E-06;6,96E-05;1,24E-06;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;1,16E-05;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
5;383;3,58E-05;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;1,93E-06;0,00E+00;1,61E-07;0,00E+00;0,00E+00;0,00E+00;1,04E-06;0,00E+00;0,00E+00;2,24E-06;0,00E+00;0,00E+00;0,00E+00;0,00E+00;1,61E-07;1,61E-07;0,00E+00;0,00E+00;1,45E-05;5,19E-06;0,00E+00;8,05E-07;0,00E+00;0,00E+00;0,00E+00;0,00E+00;9,20E-06;0,00E+00;0,00E+00;0,00E+00;1,29E-06;0,00E+00
5;384;3,54E-05;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;1,59E-05;0,00E+00;1,17E-06;0,00E+00;3,79E-07;0,00E+00;0,00E+00;7,58E-07;0,00E+00;7,90E-07;0,00E+00;0,00E+00;0,00E+00;0,00E+00;7,90E-07;7,90E-07;0,00E+00;0,00E+00;3,79E-07;3,79E-07;0,00E+00;1,87E-05;0,00E+00;0,00E+00;0,00E+00;0,00E+00;1,33E-05;0,00E+00;0,00E+00;0,00E+00;8,59E-06;0,00E+00
5;385;3,23E-05;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;5,85E-07;0,00E+00;1,82E-05;0,00E+00;5,53E-07;0,00E+00;5,53E-07;0,00E+00;0,00E+00;2,28E-06;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;1,75E-06;5,53E-07;1,14E-06;0,00E+00;3,03E-05;0,00E+00;0,00E+00;0,00E+00;0,00E+00;5,53E-06;0,00E+00;0,00E+00;0,00E+00;9,75E-06;0,00E+00
5;386;2,03E-05;2,34E-06;0,00E+00;0,00E+00;0,00E+00;0,00E+00;1,09E-05;3,27E-07;0,00E+00;1,58E-05;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;3,89E-06;6,54E-07;0,00E+00;0,00E+00;0,00E+00;0,00E+00;7,78E-07;0,00E+00;0,00E+00;0,00E+00;0,00E+00;9,81E-07;3,89E-06;3,27E-07;0,00E+00;1,11E-05;0,00E+00;0,00E+00;0,00E+00;0,00E+00;7,01E-06;0,00E+00;0,00E+00;0,00E+00;3,60E-06;0,00E+00
5;387;1,61E-05;2,42E-05;9,56E-07;0,00E+00;0,00E+00;0,00E+00;1,58E-06;0,00E+00;0,00E+00;1,50E-05;9,56E-07;0,00E+00;0,00E+00;9,56E-07;0,00E+00;3,02E-05;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;1,13E-07;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;2,92E-05;0,00E+00;0,00E+00;9,05E-07;0,00E+00;0,00E+00;0,00E+00;0,00E+00;1,02E-06;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
5;388;3,91E-06;5,18E-05;0,00E+00;0,00E+00;0,00E+00;0,00E+00;1,78E-05;0,00E+00;0,00E+00;5,84E-06;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;1,57E-05;9,73E-07;0,00E+00;0,00E+00;8,99E-08;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;3,46E-05;1,80E-07;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;9,73E-07;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
5;389;8,29E-06;8,22E-05;0,00E+00;0,00E+00;0,00E+00;0,00E+00;1,40E-05;0,00E+00;0,00E+00;2,86E-07;0,00E+00;0,00E+00;0,00E+00;2,86E-07;0,00E+00;9,05E-06;0,00E+00;0,00E+00;2,86E-07;7,54E-07;0,00E+00;0,00E+00;2,86E-07;2,86E-07;0,00E+00;0,00E+00;2,86E-07;2,11E-05;1,51E-06;0,00E+00;2,86E-07;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00
5;390;4,76E-07;1,23E-04;0,00E+00;0,00E+00;0,00E+00;0,00E+00;1,13E-05;0,00E+00;0,00E+00;1,02E-06;0,00E+00;0,00E+00;0,00E+00;5,47E-07;0,00E+00;9,52E-07;0,00E+00;0,00E+00;5,47E-07;0,00E+00;9,52E-07;4,76E-07;5,47E-07;5,47E-07;0,00E+00;4,76E-07;5,47E-07;0,00E+00;0,00E+00;0,00E+00;5,47E-07;4,76E-07;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;4,76E-06;0,00E+00
5;391;3,48E-07;1,68E-04;0,00E+00;3,99E-06;0,00E+00;0,00E+00;1,54E-05;0,00E+00;0,00E+00;3,48E-07;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;1,36E-06;0,00E+00;0,00E+00;0,00E+00;0,00E+00;6,96E-07;3,48E-07;0,00E+00;0,00E+00;0,00E+00;3,48E-07;6,65E-07;6,65E-07;1,33E-06;0,00E+00;0,00E+00;3,48E-07;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;1,15E-05;0,00E+00
5;392;0,00E+00;2,13E-04;0,00E+00;5,20E-06;0,00E+00;0,00E+00;6,19E-06;0,00E+00;0,00E+00;9,40E-06;0,00E+00;0,00E+00;0,00E+00;8,55E-07;0,00E+00;2,72E-06;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;8,55E-07;0,00E+00;0,00E+00;1,54E-07;1,55E-05;3,08E-07;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;8,55E-07;0,00E+00;0,00E+00;0,00E+00;1,55E-05;8,55E-07
5;393;0,00E+00;2,18E-04;3,07E-07;8,71E-06;8,24E-06;0,00E+00;7,67E-07;3,84E-08;0,00E+00;1,51E-05;3,84E-08;3,84E-08;0,00E+00;3,84E-08;0,00E+00;3,84E-08;0,00E+00;0,00E+00;1,94E-06;7,67E-08;0,00E+00;0,00E+00;0,00E+00;2,06E-05;3,84E-08;0,00E+00;0,00E+00;2,81E-05;0,00E+00;0,00E+00;7,67E-08;0,00E+00;0,00E+00;0,00E+00;0,00E+00;1,96E-05;0,00E+00;0,00E+00;0,00E+00;3,84E-07;0,00E+00
5;394;0,00E+00;2,22E-04;9,09E-06;6,83E-07;1,11E-05;0,00E+00;1,53E-05;7,66E-07;0,00E+00;1,49E-05;7,66E-07;7,66E-07;0,00E+00;9,93E-07;0,00E+00;7,66E-07;0,00E+00;0,00E+00;0,00E+00;1,53E-06;0,00E+00;0,00E+00;0,00E+00;2,66E-05;7,66E-07;0,00E+00;2,28E-07;2,40E-05;0,00E+00;0,00E+00;6,31E-06;0,00E+00;0,00E+00;0,00E+00;0,00E+00;2,45E-05;2,28E-07;0,00E+00;0,00E+00;7,66E-06;0,00E+00
5;395;5,42E-06;2,02E-04;1,96E-05;5,48E-06;2,87E-06;0,00E+00;4,17E-07;4,17E-07;0,00E+00;1,49E-05;0,00E+00;0,00E+00;0,00E+00;5,58E-06;0,00E+00;0,00E+00;8,34E-07;0,00E+00;0,00E+00;0,00E+00;0,00E+00;4,17E-07;0,00E+00;9,76E-06;0,00E+00;4,17E-07;5,75E-07;1,08E-05;0,00E+00;0,00E+00;1,79E-05;0,00E+00;0,00E+00;0,00E+00;0,00E+00;4,17E-06;9,92E-07;0,00E+00;4,17E-07;0,00E+00;0,00E+00
5;396;1,82E-05;1,60E-04;4,00E-05;4,64E-06;0,00E+00;0,00E+00;3,82E-07;3,82E-07;0,00E+00;2,68E-05;6,02E-07;0,00E+00;0,00E+00;9,40E-06;0,00E+00;1,81E-06;7,63E-07;0,00E+00;0,00E+00;0,00E+00;0,00E+00;3,82E-07;0,00E+00;4,20E-06;0,00E+00;1,59E-06;0,00E+00;3,82E-07;0,00E+00;0,00E+00;1,92E-05;0,00E+00;0,00E+00;0,00E+00;0,00E+00;3,82E-06;3,82E-07;0,00E+00;3,82E-07;0,00E+00;0,00E+00
5;397;4,28E-06;1,18E-04;7,21E-05;9,92E-06;0,00E+00;0,00E+00;0,00E+00;0,00E+00;0,00E+00;1,63E-05;1,94E-07;0,00E+00;7,94E-07;7,12E-06;0,00E+00;5,83E-07;0,00E+00;0,00E+00;0,00E+00;7,94E-07;0,00E+00;0,00E+00;0,00E+00;7,94E-07;0,00E+00;3,89E-07;0,00E+00;0,00E+00;0,00E+00;0,00E+00;1,16E-05;0,00E+00;0,00E+00;7,94E-07;0,00E+00;0,00E+00;7,94E-07;0,00E+00;7,94E-07;0,00E+00;0,00E+00
