input_wavelength,intensity,bandwidth,gain,integrationtime,UVA,UVB,UVC,temp,AccX,AccY,AccZ,GYRO_X,GYRO_Y,GYRO_Z,input1,input2,day,month,year,hour,minute,second,VISgain,VISintegrationtime,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,c_CH1,c_CH2,c_CH3,c_CH4,c_CH5,c_CH6,c_CH7,c_CH8,c_CH9,c_CH10,c_CH11,c_CH12,c_CH13,c_CH14,c_CH15,c_CH16,c_CH17,c_CH18,temp1,temp2,temp3,Label,uiI2CReadError,uiI2CWriteError,uiStatus1,uiStatus2,Label.1,uiI2CReadError.1,uiI2CWriteError.1,Label.2,uiI2CError,uiI2CReadDetailError,uiI2CWriteDetailError
380,30,5,64,4096,233,3,5,25.8,-1.03,-0.01,-0.18,0.4,0.2,0.5,0,0,16,7,2024,17,51,19,3,255,8,14,14,11,23,38,43,28,49,21,51,68,45,31,5,4,1,1,6.5,13.7,13.2,10.0,17.3,27.0,27.6,17.4,49.4,10.7,51.1,31.6,37.0,24.1,4.1,4.3,0.7,1.0,27,27,27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000 
390,30,5,64,4096,569,3,5,25.8,-1.02,-0.04,-0.18,0.6,0.2,0.4,0,0,16,7,2024,17,51,39,3,255,67,21,18,12,25,42,51,32,49,26,51,70,45,32,5,5,1,1,54.7,20.5,16.9,10.9,18.8,29.9,32.8,19.8,49.4,13.3,51.1,32.5,37.0,24.9,4.1,5.3,0.7,1.0,27,27,27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
400,30,5,64,4096,1080,3,6,25.8,-1.02,-0.04,-0.18,0.8,0.2,0.6,0,0,16,7,2024,17,51,59,3,255,435,27,19,13,26,42,44,30,49,23,52,69,45,32,6,5,1,1,355.0,26.4,17.9,11.8,19.5,29.9,28.3,18.6,49.4,11.8,52.1,32.0,37.0,24.9,4.9,5.3,0.7,1.0,27,27,27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
410,30,5,64,4096,522,4,7,25.8,-1.03,-0.02,-0.18,0.6,0.1,0.5,0,0,16,7,2024,17,52,19,3,255,943,113,22,15,27,41,48,31,50,24,52,74,46,32,6,5,1,1,769.5,110.3,20.7,13.6,20.3,29.2,30.9,19.2,50.4,12.3,52.1,34.3,37.8,24.9,4.9,5.3,0.7,1.0,27,27,27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
420,30,5,64,4096,364,4,7,25.9,-1.02,-0.04,-0.17,0.7,0.2,0.4,0,0,16,7,2024,17,52,39,3,255,605,831,32,16,28,39,51,33,50,24,52,70,46,32,6,5,2,1,493.7,811.5,30.1,14.5,21.1,27.8,32.8,20.5,50.4,12.3,52.1,32.5,37.8,24.9,4.9,5.3,1.5,1.0,27,28,27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
430,30,5,1,4096,1,1,1,25.9,-1.02,-0.04,-0.16,0.8,0.1,0.4,0,0,16,7,2024,17,52,59,3,255,105,2161,77,15,30,40,52,35,50,28,52,68,46,32,6,5,3,2,85.7,2110.3,72.4,13.6,22.6,28.5,33.4,21.7,50.4,14.3,52.1,31.6,37.8,24.9,4.9,5.3,2.2,1.9,37,27,27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
440,30,5,1,4096,1,1,1,25.9,-1.02,-0.02,-0.18,0.5,0.3,0.6,0,0,16,7,2024,17,53,19,3,255,16,1729,602,19,32,40,52,34,50,24,52,69,46,32,6,5,3,2,13.1,1688.4,566.0,17.2,24.1,28.5,33.4,21.1,50.4,12.3,52.1,32.0,37.8,24.9,4.9,5.3,2.2,1.9,27,27,27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
450,30,5,1,4096,1,1,1,25.9,-1.02,-0.02,-0.18,0.7,0.3,0.6,0,0,16,7,2024,17,53,49,3,255,12,472,2146,27,34,41,53,35,50,23,52,69,46,32,6,5,2,3,9.8,460.9,2017.6,24.4,25.6,29.2,34.1,21.7,50.4,11.8,52.1,32.0,37.8,24.9,4.9,5.3,1.5,2.9,27,28,27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
460,30,5,1,4096,1,1,1,25.9,-1.02,-0.04,-0.17,0.7,-0.1,0.4,0,0,16,7,2024,17,54,9,3,255,11,57,2689,111,40,41,48,35,50,28,52,68,46,32,6,5,2,2,9.0,55.7,2528.2,100.5,30.1,29.2,30.9,21.7,50.4,14.3,52.1,31.6,37.8,24.9,4.9,5.3,1.5,1.9,27,28,27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
470,30,5,1,4096,1,1,1,26.0,-1.03,-0.01,-0.18,0.4,-0.0,0.6,0,0,16,7,2024,17,54,29,3,255,15,34,1365,849,58,46,56,36,50,25,52,71,46,33,7,6,4,2,12.2,33.2,1283.4,768.8,43.6,32.7,36.0,22.3,50.4,12.8,52.1,33.0,37.8,25.7,5.7,6.4,2.9,1.9,27,27,27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
480,30,5,1,4096,1,1,1,26.1,-1.02,-0.04,-0.17,0.7,0.1,0.4,0,0,16,7,2024,17,54,49,3,255,15,27,256,2304,139,49,64,36,50,24,53,72,46,33,7,6,5,1,12.2,26.4,240.7,2086.3,104.5,34.9,41.1,22.3,50.4,12.3,53.1,33.4,37.8,25.7,5.7,6.4,3.7,1.0,27,27,27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
