input_wavelength,intensity,bandwidth,gain,integrationtime,UVA,UVB,UVC,temp,AccX,AccY,AccZ,GYRO_X,GYRO_Y,GYRO_Z,input1,input2,day,month,year,hour,minute,second,VISgain,VISintegrationtime,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,c_CH1,c_CH2,c_CH3,c_CH4,c_CH5,c_CH6,c_CH7,c_CH8,c_CH9,c_CH10,c_CH11,c_CH12,c_CH13,c_CH14,c_CH15,c_CH16,c_CH17,c_CH18,temp1,temp2,temp3,Label,uiI2CReadError,uiI2CWriteError,uiStatus1,uiStatus2,Label.1,uiI2CReadError.1,uiI2CWriteError.1,Label.2,uiI2CError,uiI2CReadDetailError,uiI2CWriteDetailError
380,5,5,64,4096,28,3,4,25.7,-1.03,-0.02,-0.18,0.7,0.2,0.5,0,0,16,7,2024,13,19,34,3,255,6,11,14,10,22,37,39,27,48,20,50,64,45,32,5,4,1,1,4.9,10.7,13.2,9.1,16.5,26.3,25.1,16.7,48.4,10.2,50.1,29.7,37.0,24.9,4.1,4.3,0.7,1.0,27,27,26,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
390,5,5,64,4096,121,3,4,25.8,-1.03,-0.0,-0.19,0.3,0.4,0.7,0,0,16,7,2024,13,20,44,3,255,15,12,14,10,23,38,41,28,49,21,50,65,45,31,5,4,1,1,12.2,11.7,13.2,9.1,17.3,27.0,26.4,17.4,49.4,10.7,50.1,30.2,37.0,24.1,4.1,4.3,0.7,1.0,27,27,27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
400,5,5,64,4096,178,3,4,25.9,-1.02,-0.05,-0.17,0.8,0.4,0.4,0,0,16,7,2024,13,21,34,3,255,73,13,14,10,23,38,39,27,48,20,50,65,45,31,5,4,1,1,59.6,12.7,13.2,9.1,17.3,27.0,25.1,16.7,48.4,10.2,50.1,30.2,37.0,24.1,4.1,4.3,0.7,1.0,27,27,27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
410,5,5,64,4096,89,3,5,26.0,-1.01,-0.05,-0.17,0.9,0.0,0.3,0,0,16,7,2024,13,22,54,3,255,154,26,15,11,23,38,40,28,48,21,50,66,44,31,5,4,1,1,125.7,25.4,14.1,10.0,17.3,27.0,25.7,17.4,48.4,10.7,50.1,30.6,36.2,24.1,4.1,4.3,0.7,1.0,27,28,27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
420,5,5,64,4096,11,3,5,26.1,-1.03,-0.02,-0.17,0.7,0.0,0.4,0,0,16,7,2024,13,23,34,3,255,101,139,17,11,23,37,40,28,48,21,50,65,45,31,5,4,1,1,82.4,135.7,16.0,10.0,17.3,26.3,25.7,17.4,48.4,10.7,50.1,30.2,37.0,24.1,4.1,4.3,0.7,1.0,27,27,27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
430,5,5,1,4096,1,1,1,26.1,-1.02,-0.02,-0.18,0.4,0.1,0.7,0,0,16,7,2024,13,24,14,3,255,21,353,24,11,23,38,41,28,48,21,50,65,45,31,5,4,1,1,17.1,344.7,22.6,10.0,17.3,27.0,26.4,17.4,48.4,10.7,50.1,30.2,37.0,24.1,4.1,4.3,0.7,1.0,27,28,27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
440,5,5,1,4096,1,1,1,26.1,-1.03,-0.01,-0.19,0.4,0.3,0.5,0,0,16,7,2024,13,24,44,3,255,7,286,107,11,24,38,41,28,48,21,50,65,45,31,5,4,1,1,5.7,279.3,100.6,10.0,18.0,27.0,26.4,17.4,48.4,10.7,50.1,30.2,37.0,24.1,4.1,4.3,0.7,1.0,31,28,27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
450,5,5,1,4096,1,1,1,26.2,-1.03,-0.02,-0.18,0.4,-0.1,0.7,0,0,16,7,2024,13,25,4,3,255,7,84,357,13,24,38,41,28,48,20,50,65,44,31,5,4,1,1,5.7,82.0,335.6,11.8,18.0,27.0,26.4,17.4,48.4,10.2,50.1,30.2,36.2,24.1,4.1,4.3,0.7,1.0,28,28,27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
460,5,5,1,4096,1,1,1,26.2,-1.03,-0.05,-0.18,0.7,0.1,0.5,0,0,16,7,2024,13,25,34,3,255,7,18,447,26,25,38,40,28,48,21,50,64,45,31,5,4,1,1,5.7,17.6,420.3,23.5,18.8,27.0,25.7,17.4,48.4,10.7,50.1,29.7,37.0,24.1,4.1,4.3,0.7,1.0,27,28,27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
470,5,5,1,4096,1,1,1,26.2,-1.04,-0.01,-0.18,0.4,0.2,0.6,0,0,16,7,2024,13,26,4,3,255,7,14,227,141,28,38,41,28,48,21,50,65,45,31,5,4,2,1,5.7,13.7,213.4,127.7,21.1,27.0,26.4,17.4,48.4,10.7,50.1,30.2,37.0,24.1,4.1,4.3,1.5,1.0,27,28,27,ES1,0x0000,0x0000,0x00,0x00,ES2,0x00,0x00,ES3,0x00,0x0000,0x0000
