input_wavelength;intensity;bandwidth;angle;gain;integrationtime;UVA;UVB;UVC;temp;AccX;AccY;AccZ;GYRO_X;GYRO_Y;GYRO_Z;input1;input2;day;month;year;hour;minute;second;VISgain;VISintegrationtime;CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8;CH9;CH10;CH11;CH12;CH13;CH14;CH15;CH16;CH17;CH18;c_CH1;c_CH2;c_CH3;c_CH4;c_CH5;c_CH6;c_CH7;c_CH8;c_CH9;c_CH10;c_CH11;c_CH12;c_CH13;c_CH14;c_CH15;c_CH16;c_CH17;c_CH18;temp1;temp2;temp3;Label;uiI2CReadError;uiI2CWriteError;uiStatus1;uiStatus2;Label.1;uiI2CReadError.1;uiI2CWriteError.1;Label.2;uiI2CError;uiI2CReadDetailError;uiI2CWriteDetailError
500;100;5;0;1;4096;1.0;1.0;1.0;27.8;-1.03;-0.03;-0.26;1.0;-0.5;-1.5;0;0;20;8;2024;13;38;35;3;255;2;2;2;1;1;1;2;2;2;2;2;1;2;1;1;1;1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;30;30;29;ES1;0x0000;0x0000;0x00;0x00;ES2;0x00;0x00;ES3;0x00;0x0000;0x0000
500;100;5;-15;1;4096;1.0;1.0;1.0;28.1;-1.02;-0.06;-0.22;2.3;-0.2;-1.7;0;0;20;8;2024;13;40;15;3;255;2;2;2;1;1;1;2;2;2;2;2;1;2;1;1;1;1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;30;30;30;ES1;0x0000;0x0000;0x00;0x00;ES2;0x00;0x00;ES3;0x00;0x0000;0x0000
500;100;5;-30;1;4096;1.0;1.0;1.0;28.3;-1.01;-0.18;-0.22;1.7;-0.3;-2.1;0;0;20;8;2024;13;41;15;3;255;2;2;2;1;1;1;2;2;2;2;2;1;2;1;1;1;1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;30;30;30;ES1;0x0000;0x0000;0x00;0x00;ES2;0x00;0x00;ES3;0x00;0x0000;0x0000
500;100;5;-45;1;4096;1.0;1.0;1.0;28.4;-1.0;-0.18;-0.21;2.4;-0.4;-2.5;0;0;20;8;2024;13;42;15;3;255;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;0;1;0.5;0.4761904761904762;0.47058823529411775;1.0;0.0;1.0;0.5;0.4761904761904762;0.5;0.47058823529411775;0.4761904761904762;1.0;0.47058823529411775;1.0;0.0;1.0;0.0;1.0;30;30;30;ES1;0x0000;0x0000;0x00;0x00;ES2;0x00;0x00;ES3;0x00;0x0000;0x0000
500;100;5;-60;1;4096;1.0;1.0;1.0;28.6;-1.01;-0.14;-0.23;1.4;-0.5;-1.9;0;0;20;8;2024;13;43;5;3;255;1;1;1;1;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0.5;0.4761904761904762;0.47058823529411775;1.0;0.0;0.0;0.5;0.4761904761904762;0.5;0.47058823529411775;0.4761904761904762;1.0;0.47058823529411775;1.0;0.0;0.0;0.0;0.0;30;32;31;ES1;0x0000;0x0000;0x00;0x00;ES2;0x00;0x00;ES3;0x00;0x0000;0x0000
500;100;5;-75;1;4096;1.0;1.0;1.0;28.6;-1.03;-0.03;-0.26;0.8;-0.5;-1.6;0;0;20;8;2024;13;43;55;3;255;1;1;1;0;0;0;1;1;1;1;1;0;1;0;0;0;0;0;0.5;0.4761904761904762;0.47058823529411775;0.0;0.0;0.0;0.5;0.4761904761904762;0.5;0.47058823529411775;0.4761904761904762;0.0;0.47058823529411775;0.0;0.0;0.0;0.0;0.0;31;31;30;ES1;0x0000;0x0000;0x00;0x00;ES2;0x00;0x00;ES3;0x00;0x0000;0x0000
500;100;5;15;1;4096;1.0;1.0;1.0;28.8;-1.03;0.01;-0.28;0.3;-0.4;-1.3;0;0;20;8;2024;13;44;55;3;255;2;2;2;1;1;1;2;2;2;2;2;1;2;1;1;1;1;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;30;31;31;ES1;0x0000;0x0000;0x00;0x00;ES2;0x00;0x00;ES3;0x00;0x0000;0x0000
500;100;5;30;1;4096;1.0;1.0;1.0;28.8;-1.03;-0.03;-0.26;1.4;-0.3;-2.0;0;0;20;8;2024;13;45;45;3;255;2;2;2;1;0;1;2;2;2;2;2;1;2;1;0;1;0;1;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;30;31;31;ES1;0x0000;0x0000;0x00;0x00;ES2;0x00;0x00;ES3;0x00;0x0000;0x0000
500;100;5;45;1;4096;1.0;1.0;1.0;29.1;-1.01;-0.12;-0.24;1.9;-0.2;-2.2;0;0;20;8;2024;13;50;15;3;255;1;1;1;1;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0.5;0.4761904761904762;0.47058823529411775;1.0;0.0;0.0;0.5;0.4761904761904762;0.5;0.47058823529411775;0.4761904761904762;1.0;0.47058823529411775;1.0;0.0;0.0;0.0;0.0;31;31;31;ES1;0x0000;0x0000;0x00;0x00;ES2;0x00;0x00;ES3;0x00;0x0000;0x0000
500;100;5;60;1;4096;1.0;1.0;1.0;29.2;-1.02;-0.13;-0.26;1.7;-0.3;-2.2;0;0;20;8;2024;13;51;5;3;255;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;0;1;0.5;0.4761904761904762;0.47058823529411775;1.0;0.0;1.0;0.5;0.4761904761904762;0.5;0.47058823529411775;0.4761904761904762;1.0;0.47058823529411775;1.0;0.0;1.0;0.0;1.0;31;31;31;ES1;0x0000;0x0000;0x00;0x00;ES2;0x00;0x00;ES3;0x00;0x0000;0x0000
