wavelength;angle_0;angle_-15;angle_-30;angle_-45;angle_-60;angle_-75;angle_15;angle_30;angle_45;angle_60;angle_75
380;7.37249e-07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
381;3.10939e-07;0.0;1.91875e-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
382;0.0;0.0;1.36579e-07;0.0;0.0;1.16693e-06;0.0;0.0;0.0;0.0;0.0
383;2.0761e-06;0.0;0.0;0.0;0.0;0.0;1.61093e-07;1.61093e-07;0.0;0.0;0.0
384;0.0;0.0;3.78917e-07;0.0;0.0;0.0;7.90139e-07;7.90139e-07;0.0;0.0;0.0
385;0.0;0.0;5.52913e-07;0.0;0.0;0.0;0.0;1.16988e-06;0.0;0.0;0.0
386;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.54269e-07;0.0;0.0;0.0
387;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
388;1.063e-06;2.9192e-06;2.66564e-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
389;7.53891e-07;0.0;1.17509e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
390;0.0;0.0;1.09307e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
391;0.0;0.0;0.0;0.0;0.0;6.64524e-07;6.64524e-07;0.0;0.0;0.0;0.0
392;0.0;0.0;0.0;0.0;0.0;1.54165e-07;1.00884e-06;0.0;0.0;0.0;0.0
393;9.67787e-07;2.06218e-05;0.0;0.0;0.0;0.0;0.0;0.0;9.67787e-07;0.0;0.0
394;0.0;2.77716e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
395;0.0;6.32072e-06;0.0;0.0;0.0;0.0;0.0;4.1706e-07;4.1706e-07;0.0;0.0
396;0.0;0.0;6.01858e-07;0.0;0.0;0.0;0.0;3.81749e-07;3.81749e-07;0.0;0.0
397;7.94455e-07;7.94455e-07;1.94434e-07;0.0;0.0;0.0;7.94455e-07;0.0;0.0;0.0;0.0
398;4.94921e-09;2.94876e-06;0.0;0.0;0.0;0.0;1.96749e-06;0.0;0.0;0.0;0.0
399;5.49415e-07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
400;1.83426e-06;0.0;9.31864e-06;0.0;0.0;0.0;3.72745e-07;0.0;0.0;0.0;0.0
401;1.6808e-06;0.0;1.16534e-05;0.0;0.0;0.0;4.21316e-07;5.60266e-07;0.0;0.0;0.0
402;1.43353e-06;0.0;4.61038e-07;0.0;0.0;0.0;7.41977e-07;2.30519e-07;0.0;0.0;0.0
403;1.88448e-06;0.0;0.0;0.0;0.0;0.0;4.31695e-08;1.84131e-06;9.20657e-07;0.0;0.0
404;0.0;0.0;0.0;0.0;0.0;0.0;1.42447e-07;0.0;0.0;0.0;0.0
405;3.27208e-07;0.0;3.27208e-07;0.0;0.0;0.0;1.28867e-06;0.0;0.0;0.0;0.0
406;4.49601e-07;0.0;4.49601e-07;0.0;5.13519e-07;0.0;8.99202e-07;0.0;0.0;0.0;0.0
407;0.0;0.0;0.0;0.0;2.66474e-07;0.0;0.0;0.0;0.0;0.0;0.0
408;2.65764e-06;0.0;0.0;8.8588e-07;0.0;0.0;2.65764e-06;8.8588e-07;0.0;0.0;0.0
409;1.75138e-06;0.0;9.72122e-07;0.0;8.62661e-07;0.0;3.41207e-05;0.0;1.09461e-07;0.0;0.0
410;1.21482e-05;0.0;6.67336e-07;0.0;0.0;0.0;2.10387e-05;0.0;3.90316e-06;0.0;0.0
411;2.14209e-05;0.0;4.75904e-07;0.0;4.75904e-07;0.0;3.81556e-06;0.0;5.2464e-06;0.0;0.0
412;2.66097e-05;0.0;2.89423e-07;0.0;2.89423e-07;0.0;0.0;0.0;0.0;0.0;0.0
413;1.82943e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
414;3.78844e-07;0.0;6.06151e-07;0.0;0.0;0.0;0.0;7.57688e-08;8.61708e-07;0.0;0.0
415;1.09607e-05;0.0;1.24616e-05;0.0;0.0;0.0;2.53777e-07;6.69483e-07;0.0;0.0;0.0
416;2.629e-05;0.0;2.53293e-05;0.0;0.0;0.0;4.80349e-07;0.0;0.0;4.2427e-07;0.0
417;2.84359e-05;0.0;1.48708e-05;0.0;0.0;0.0;6.48765e-06;0.0;0.0;2.99398e-07;0.0
418;4.26678e-06;0.0;1.38043e-06;0.0;0.0;0.0;2.71168e-05;0.0;0.0;0.0;0.0
419;2.62455e-05;0.0;2.30141e-05;0.0;0.0;0.0;2.54297e-05;0.0;0.0;4.53205e-08;0.0
420;1.15764e-05;0.0;1.06518e-06;0.0;0.0;0.0;0.0;0.0;0.0;6.43131e-07;0.0
421;9.28169e-06;0.0;9.3802e-07;0.0;0.0;0.0;3.71268e-07;0.0;0.0;0.0;0.0
422;1.07202e-05;0.0;5.29122e-07;0.0;0.0;0.0;1.77629e-05;0.0;0.0;0.0;0.0
423;1.44007e-05;0.0;1.37187e-07;0.0;0.0;0.0;9.27932e-06;0.0;0.0;0.0;0.0
424;2.57929e-05;0.0;0.0;0.0;2.16812e-08;0.0;2.33474e-05;0.0;0.0;0.0;0.0
425;3.10178e-05;0.0;0.0;1.7494e-07;6.11459e-07;0.0;6.99761e-07;0.0;0.0;0.0;0.0
426;2.18434e-05;0.0;0.0;4.45087e-07;0.0;0.0;1.3284e-05;0.0;0.0;0.0;0.0
427;6.0128e-06;0.0;4.54603e-07;0.0;0.0;0.0;2.80372e-05;0.0;9.09206e-07;0.0;0.0
428;0.0;0.0;1.36942e-07;0.0;0.0;0.0;1.98723e-05;0.0;2.73883e-07;0.0;0.0
429;1.01704e-07;0.0;0.0;6.97248e-07;0.0;7.26459e-09;2.23119e-05;0.0;6.97248e-07;0.0;0.0
430;1.83679e-05;4.23167e-07;0.0;0.0;0.0;1.12056e-06;2.82111e-07;0.0;0.0;0.0;0.0
431;1.322e-05;6.5097e-06;0.0;0.0;0.0;2.76395e-07;1.63169e-05;0.0;0.0;0.0;0.0
432;2.52648e-05;6.52364e-06;0.0;0.0;0.0;2.79021e-07;2.45883e-05;0.0;0.0;0.0;0.0
433;1.69081e-05;6.75579e-06;5.27889e-07;0.0;0.0;0.0;2.10364e-05;5.27889e-07;0.0;0.0;0.0
434;1.9162e-05;1.37105e-06;6.34082e-06;0.0;0.0;0.0;1.04278e-05;8.71939e-09;0.0;0.0;0.0
