input_wavelength;intensity;bandwidth;angle;gain;integrationtime;UVA;UVB;UVC;temp;AccX;AccY;AccZ;GYRO_X;GYRO_Y;GYRO_Z;input1;input2;day;month;year;hour;minute;second;VISgain;VISintegrationtime;CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8;CH9;CH10;CH11;CH12;CH13;CH14;CH15;CH16;CH17;CH18;c_CH1;c_CH2;c_CH3;c_CH4;c_CH5;c_CH6;c_CH7;c_CH8;c_CH9;c_CH10;c_CH11;c_CH12;c_CH13;c_CH14;c_CH15;c_CH16;c_CH17;c_CH18;temp1;temp2;temp3;Label;uiI2CReadError;uiI2CWriteError;uiStatus1;uiStatus2;Label.1;uiI2CReadError.1;uiI2CWriteError.1;Label.2;uiI2CError;uiI2CReadDetailError;uiI2CWriteDetailError
450;100;5;0;1;4096;1;1;1;26.3;-1.03;-0.04;-0.21;0.5;0.3;0.5;0;0;18;7;2024;17;28;50;3;255;13;932;3503;26;26;22;54;34;27;21;22;40;19;13;4;4;2;4;10.6;910.1;3293.5;23.5;19.5;15.7;34.7;21.1;27.2;10.7;22.0;18.6;15.6;10.1;3.3;4.3;1.5;3.9;28;28;27;ES1;0x0000;0x0000;0x00;0x00;ES2;0x00;0x00;ES3;0x00;0x0000;0x0000
450;100;5;-15;1;4096;1;1;1;26.6;-1.03;-0.02;-0.22;0.4;0.3;0.7;0;0;18;7;2024;17;32;0;3;255;3;200;1864;9;9;12;30;41;28;55;5;22;20;6;3;1;2;10;2.4;195.3;1752.5;8.1;6.8;8.5;19.3;25.4;28.2;28.1;5.0;10.2;16.5;4.7;2.5;1.1;1.5;9.7;28;28;27;ES1;0x0000;0x0000;0x00;0x00;ES2;0x00;0x00;ES3;0x00;0x0000;0x0000
450;100;5;-30;1;4096;1;1;1;26.7;-1.03;-0.01;-0.21;0.5;-0.4;0.9;0;0;18;7;2024;17;33;50;3;255;1;33;337;5;2;3;6;11;7;25;2;4;5;1;1;1;1;4;0.8;32.2;316.8;4.5;1.5;2.1;3.9;6.8;7.1;12.8;2.0;1.9;4.1;0.8;0.8;1.1;0.7;3.9;28;28;28;ES1;0x0000;0x0000;0x00;0x00;ES2;0x00;0x00;ES3;0x00;0x0000;0x0000
450;100;5;-45;1;4096;1;1;1;26.9;-1.02;-0.05;-0.2;0.9;-0.1;0.2;0;0;18;7;2024;17;35;40;3;255;0;10;83;2;1;1;2;3;2;4;1;2;2;1;0;0;0;1;0.0;9.8;78.0;1.8;0.8;0.7;1.3;1.9;2.0;2.0;1.0;0.9;1.6;0.8;0.0;0.0;0.0;1.0;28;28;28;ES1;0x0000;0x0000;0x00;0x00;ES2;0x00;0x00;ES3;0x00;0x0000;0x0000
450;100;5;-60;1;4096;1;1;1;26.9;-1.02;-0.06;-0.2;0.7;0.1;0.4;0;0;18;7;2024;17;37;30;3;255;0;4;26;1;0;0;1;1;1;1;0;1;1;1;0;0;0;0;0.0;3.9;24.4;0.9;0.0;0.0;0.6;0.6;1.0;0.5;0.0;0.5;0.8;0.8;0.0;0.0;0.0;0.0;28;28;28;ES1;0x0000;0x0000;0x00;0x00;ES2;0x00;0x00;ES3;0x00;0x0000;0x0000
450;100;5;-75;1;4096;1;1;1;27.1;-1.02;-0.05;-0.19;0.9;0.3;0.2;0;0;18;7;2024;17;39;10;3;255;0;2;9;0;0;0;1;1;1;0;0;0;1;1;0;1;0;0;0.0;2.0;8.5;0.0;0.0;0.0;0.6;0.6;1.0;0.0;0.0;0.0;0.8;0.8;0.0;1.1;0.0;0.0;28;29;28;ES1;0x0000;0x0000;0x00;0x00;ES2;0x00;0x00;ES3;0x00;0x0000;0x0000
450;100;5;15;1;4096;1;1;1;27.1;-1.02;-0.04;-0.19;0.7;-0.4;0.7;0;0;18;7;2024;17;40;50;3;255;23;742;1306;46;23;9;19;8;6;4;18;14;4;6;2;3;1;1;18.8;724.6;1227.9;41.7;17.3;6.4;12.2;5.0;6.1;2.0;18.0;6.5;3.3;4.7;1.6;3.2;0.7;1.0;28;29;28;ES1;0x0000;0x0000;0x00;0x00;ES2;0x00;0x00;ES3;0x00;0x0000;0x0000
450;100;5;30;1;4096;1;1;1;27.2;-1.03;-0.02;-0.21;0.5;0.4;0.6;0;0;18;7;2024;17;42;30;3;255;8;112;230;20;6;2;4;2;2;1;4;3;1;2;1;1;0;0;6.5;109.4;216.2;18.1;4.5;1.4;2.6;1.2;2.0;0.5;4.0;1.4;0.8;1.6;0.8;1.1;0.0;0.0;28;29;28;ES1;0x0000;0x0000;0x00;0x00;ES2;0x00;0x00;ES3;0x00;0x0000;0x0000
450;100;5;45;1;4096;1;1;1;27.2;-1.02;-0.04;-0.21;0.8;0.0;0.2;0;0;18;7;2024;17;44;0;3;255;2;23;97;5;2;1;2;1;1;1;2;1;1;1;0;1;0;0;1.6;22.5;91.2;4.5;1.5;0.7;1.3;0.6;1.0;0.5;2.0;0.5;0.8;0.8;0.0;1.1;0.0;0.0;28;29;28;ES1;0x0000;0x0000;0x00;0x00;ES2;0x00;0x00;ES3;0x00;0x0000;0x0000
450;100;5;60;1;4096;1;1;1;27.3;-1.02;-0.03;-0.21;0.6;0.1;0.6;0;0;18;7;2024;17;45;20;3;255;1;8;36;1;1;1;1;0;1;0;1;1;1;1;0;0;0;0;0.8;7.8;33.8;0.9;0.8;0.7;0.6;0.0;1.0;0.0;1.0;0.5;0.8;0.8;0.0;0.0;0.0;0.0;36;29;28;ES1;0x0000;0x0000;0x00;0x00;ES2;0x00;0x00;ES3;0x00;0x0000;0x0000
450;100;5;75;1;4096;1;1;1;27.4;-1.03;-0.03;-0.19;0.5;0.2;0.6;0;0;18;7;2024;17;47;9;3;255;0;3;10;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0.0;2.9;9.4;0.9;0.0;0.0;0.6;0.0;1.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;29;29;28;ES1;0x0000;0x0000;0x00;0x00;ES2;0x00;0x00;ES3;0x00;0x0000;0x0000
