wavelength;angle_0;angle_-15;angle_-30;angle_-45;angle_-60;angle_-75;angle_15;angle_30;angle_45;angle_60;angle_75
380;2.26306e-05;7.37249e-07;0.0;0.0;0.0;0.0;0.0;5.65765e-07;0.0;0.0;0.0
381;0.0;3.10939e-07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
382;2.33386e-06;2.33386e-06;1.16693e-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
383;1.03805e-06;1.61093e-07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.03805e-06;1.61093e-07
384;0.0;1.92689e-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.78917e-07;7.90139e-07
385;0.0;1.65874e-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.52913e-07;0.0
386;0.0;0.0;0.0;0.0;0.0;0.0;7.7841e-07;0.0;0.0;0.0;0.0
387;9.5602e-07;0.0;0.0;0.0;0.0;0.0;1.13076e-07;0.0;9.5602e-07;0.0;0.0
388;3.89226e-06;9.73066e-07;9.73066e-07;0.0;0.0;0.0;8.99385e-08;0.0;0.0;1.79877e-07;0.0
389;5.14784e-06;2.85991e-07;0.0;0.0;0.0;0.0;1.03988e-06;0.0;0.0;1.50778e-06;0.0
390;9.83763e-06;1.97508e-06;0.0;0.0;0.0;0.0;5.46535e-07;0.0;0.0;0.0;0.0
391;3.32262e-06;1.04369e-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
392;7.70825e-07;1.70934e-06;0.0;0.0;0.0;0.0;1.70934e-06;0.0;0.0;0.0;0.0
393;3.83662e-08;0.0;3.83662e-08;3.83662e-08;0.0;0.0;0.0;0.0;0.0;3.83662e-08;0.0
394;7.59895e-06;0.0;7.65637e-07;7.65637e-07;0.0;0.0;0.0;0.0;0.0;7.65637e-07;0.0
395;3.30866e-05;0.0;4.1706e-07;0.0;0.0;0.0;0.0;0.0;8.3412e-07;0.0;0.0
396;4.03864e-05;0.0;3.81749e-07;0.0;0.0;0.0;0.0;0.0;7.63498e-07;0.0;0.0
397;2.18664e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
398;8.41366e-08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
399;3.33735e-05;0.0;0.0;0.0;0.0;0.0;2.39149e-06;0.0;0.0;0.0;0.0
400;3.42396e-05;7.45491e-07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
401;1.84888e-05;8.42631e-07;1.12053e-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
402;3.95121e-05;0.0;4.61038e-07;0.0;0.0;0.0;0.0;0.0;1.48395e-06;0.0;0.0
403;6.1699e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.6339e-08;0.0;0.0
404;6.40118e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.27915e-06;0.0
405;1.6914e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.24385e-05;0.0
406;4.0451e-05;0.0;0.0;0.0;0.0;0.0;1.02704e-06;0.0;0.0;9.82296e-06;0.0
407;3.2389e-05;2.82628e-06;7.06569e-07;0.0;0.0;0.0;5.32947e-07;0.0;0.0;3.46416e-06;0.0
408;2.33488e-06;3.11318e-07;7.78294e-08;0.0;0.0;0.0;2.65764e-06;0.0;1.24023e-05;0.0;0.0
409;4.06545e-05;1.83348e-05;0.0;0.0;0.0;0.0;8.62661e-07;0.0;1.47043e-05;0.0;0.0
410;6.25648e-06;1.33467e-06;0.0;0.0;0.0;0.0;2.94166e-07;0.0;1.60161e-05;0.0;0.0
411;9.06196e-06;0.0;0.0;0.0;0.0;0.0;1.90466e-06;0.0;0.0;0.0;0.0
412;1.96079e-06;0.0;0.0;6.53598e-07;0.0;0.0;8.68269e-07;0.0;6.53598e-07;0.0;0.0
413;1.98733e-06;0.0;0.0;1.06417e-07;0.0;0.0;0.0;0.0;1.06417e-07;0.0;0.0
414;0.0;7.57688e-08;0.0;0.0;8.61708e-07;0.0;0.0;0.0;1.51538e-07;8.61708e-07;0.0
415;0.0;6.69483e-07;2.53777e-07;0.0;0.0;0.0;5.07554e-07;0.0;1.59274e-06;0.0;0.0
416;3.81843e-06;0.0;4.80349e-07;0.0;0.0;0.0;1.80924e-06;0.0;4.80349e-07;0.0;0.0
417;2.51065e-05;1.76936e-06;5.89786e-07;0.0;0.0;0.0;2.36816e-06;0.0;0.0;0.0;0.0
418;6.83526e-05;3.76481e-07;1.25494e-07;0.0;0.0;0.0;3.76481e-07;0.0;7.56951e-07;0.0;0.0
419;2.14596e-05;3.11719e-05;0.0;0.0;0.0;0.0;0.0;4.53205e-08;0.0;0.0;0.0
420;1.73042e-05;2.53229e-06;0.0;0.0;0.0;0.0;0.0;6.43131e-07;0.0;2.11024e-07;0.0
421;9.55598e-06;1.45385e-05;0.0;0.0;0.0;0.0;0.0;0.0;3.71268e-07;4.6901e-07;0.0
422;9.05456e-07;3.0525e-05;0.0;0.0;0.0;0.0;0.0;0.0;8.30941e-07;0.0;0.0
423;0.0;6.03622e-06;0.0;0.0;0.0;0.0;6.78879e-07;0.0;1.37187e-07;0.0;0.0
