input_wavelength;intensity;bandwidth;angle;gain;integrationtime;UVA;UVB;UVC;temp;AccX;AccY;AccZ;GYRO_X;GYRO_Y;GYRO_Z;input1;input2;day;month;year;hour;minute;second;VISgain;VISintegrationtime;CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8;CH9;CH10;CH11;CH12;CH13;CH14;CH15;CH16;CH17;CH18;c_CH1;c_CH2;c_CH3;c_CH4;c_CH5;c_CH6;c_CH7;c_CH8;c_CH9;c_CH10;c_CH11;c_CH12;c_CH13;c_CH14;c_CH15;c_CH16;c_CH17;c_CH18;temp1;temp2;temp3;Label;uiI2CReadError;uiI2CWriteError;uiStatus1;uiStatus2;Label.1;uiI2CReadError.1;uiI2CWriteError.1;Label.2;uiI2CError;uiI2CReadDetailError;uiI2CWriteDetailError
500;100;5;0;1;4096;1;1;1;27.6;-1.01;-0.06;-0.2;1.0;-0.2;0.3;0;0;18;7;2024;17;56;29;3;174;14;33;37;571;3790;56;78;41;20;30;16;46;13;10;5;4;13;5;11.4;32.2;34.8;517.0;2849.6;39.9;50.1;25.4;20.2;15.3;16.0;21.3;10.7;7.8;4.1;4.3;9.5;4.9;29;29;29;ES1;0x0000;0x0000;0x00;0x00;ES2;0x00;0x00;ES3;0x00;0x0000;0x0000
500;100;5;-15;1;4096;1;1;1;27.6;-1.05;-0.01;-0.23;0.2;0.1;0.9;0;0;18;7;2024;17;57;49;3;255;4;15;25;107;1517;53;65;69;30;118;6;35;21;7;4;2;23;18;3.3;14.6;23.5;96.9;1140.6;37.7;41.8;42.8;30.3;60.3;6.0;16.2;17.3;5.4;3.3;2.1;16.8;17.5;29;29;29;ES1;0x0000;0x0000;0x00;0x00;ES2;0x00;0x00;ES3;0x00;0x0000;0x0000
500;100;5;-30;1;4096;1;1;1;27.7;-1.04;-0.02;-0.21;0.2;0.3;0.7;0;0;18;7;2024;17;59;9;3;255;2;4;5;23;330;13;14;19;7;54;2;7;6;2;1;1;5;9;1.6;3.9;4.7;20.8;248.1;9.3;9.0;11.8;7.1;27.6;2.0;3.2;4.9;1.6;0.8;1.1;3.7;8.8;28;29;29;ES1;0x0000;0x0000;0x00;0x00;ES2;0x00;0x00;ES3;0x00;0x0000;0x0000
500;100;5;-45;1;4096;1;1;1;27.7;-1.01;-0.07;-0.19;1.1;0.2;-0.0;0;0;18;7;2024;18;0;19;3;255;1;1;1;8;105;4;5;4;2;8;1;3;2;1;0;0;1;2;0.8;1.0;0.9;7.2;78.9;2.8;3.2;2.5;2.0;4.1;1.0;1.4;1.6;0.8;0.0;0.0;0.7;1.9;29;29;29;ES1;0x0000;0x0000;0x00;0x00;ES2;0x00;0x00;ES3;0x00;0x0000;0x0000
500;100;5;-60;1;4096;1;1;1;27.7;-1.03;-0.01;-0.21;0.3;0.1;0.8;0;0;18;7;2024;18;1;59;3;255;0;1;1;4;36;1;2;2;1;2;0;1;1;1;0;0;1;1;0.0;1.0;0.9;3.6;27.1;0.7;1.3;1.2;1.0;1.0;0.0;0.5;0.8;0.8;0.0;0.0;0.7;1.0;29;29;29;ES1;0x0000;0x0000;0x00;0x00;ES2;0x00;0x00;ES3;0x00;0x0000;0x0000
500;100;5;-75;1;4096;1;1;1;27.7;-1.03;-0.01;-0.2;0.3;0.1;1.0;0;0;18;7;2024;18;3;9;3;255;0;0;0;2;13;1;1;1;1;1;1;1;0;0;0;1;0;0;0.0;0.0;0.0;1.8;9.8;0.7;0.6;0.6;1.0;0.5;1.0;0.5;0.0;0.0;0.0;1.1;0.0;0.0;29;29;29;ES1;0x0000;0x0000;0x00;0x00;ES2;0x00;0x00;ES3;0x00;0x0000;0x0000
500;100;5;15;1;4096;1;1;1;27.5;-1.02;-0.05;-0.19;0.8;0.2;0.3;0;0;18;7;2024;17;54;19;3;211;30;33;17;1126;3702;32;34;12;5;6;16;20;4;5;3;4;3;1;24.5;32.2;16.0;1019.6;2783.5;22.8;21.9;7.4;5.0;3.1;16.0;9.3;3.3;3.9;2.5;4.3;2.2;1.0;28;29;28;ES1;0x0000;0x0000;0x00;0x00;ES2;0x00;0x00;ES3;0x00;0x0000;0x0000
500;100;5;30;1;4096;1;1;1;27.5;-1.03;-0.02;-0.21;0.5;0.1;0.9;0;0;18;7;2024;17;52;49;3;255;14;10;4;349;968;23;9;4;2;3;5;5;2;2;1;2;1;1;11.4;9.8;3.8;316.0;727.8;16.4;5.8;2.5;2.0;1.5;5.0;2.3;1.6;1.6;0.8;2.1;0.7;1.0;29;29;28;ES1;0x0000;0x0000;0x00;0x00;ES2;0x00;0x00;ES3;0x00;0x0000;0x0000
500;100;5;45;1;4096;1;1;1;27.4;-1.02;-0.04;-0.2;0.7;0.1;0.4;0;0;18;7;2024;17;51;19;3;255;3;3;2;56;259;17;3;1;1;1;2;2;1;1;1;0;1;0;2.4;2.9;1.9;50.7;194.7;12.1;1.9;0.6;1.0;0.5;2.0;0.9;0.8;0.8;0.8;0.0;0.7;0.0;29;29;28;ES1;0x0000;0x0000;0x00;0x00;ES2;0x00;0x00;ES3;0x00;0x0000;0x0000
500;100;5;60;1;4096;1;1;1;27.4;-1.02;-0.03;-0.19;0.6;-0.1;0.4;0;0;18;7;2024;17;49;59;3;255;1;1;1;15;80;5;1;1;1;0;1;1;1;1;0;0;0;0;0.8;1.0;0.9;13.6;60.2;3.6;0.6;0.6;1.0;0.0;1.0;0.5;0.8;0.8;0.0;0.0;0.0;0.0;29;29;28;ES1;0x0000;0x0000;0x00;0x00;ES2;0x00;0x00;ES3;0x00;0x0000;0x0000
