input_wavelength;intensity;bandwidth;angle;gain;integrationtime;UVA;UVB;UVC;temp;AccX;AccY;AccZ;GYRO_X;GYRO_Y;GYRO_Z;input1;input2;day;month;year;hour;minute;second;VISgain;VISintegrationtime;CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8;CH9;CH10;CH11;CH12;CH13;CH14;CH15;CH16;CH17;CH18;c_CH1;c_CH2;c_CH3;c_CH4;c_CH5;c_CH6;c_CH7;c_CH8;c_CH9;c_CH10;c_CH11;c_CH12;c_CH13;c_CH14;c_CH15;c_CH16;c_CH17;c_CH18;temp1;temp2;temp3;Label;uiI2CReadError;uiI2CWriteError;uiStatus1;uiStatus2;Label.1;uiI2CReadError.1;uiI2CWriteError.1;Label.2;uiI2CError;uiI2CReadDetailError;uiI2CWriteDetailError
550;100;5;0;1;4096;1.0;1.0;1.0;27.8;-1.02;-0.05;-0.18;0.9;0.0;0.5;0;0;18;7;2024;18;10;39;3;77;9;7;14;6;17;651;3831;108;8;13;7;22;6;4;2;1;8;4;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;29;29;29;ES1;0x0000;0x0000;0x00;0x00;ES2;0x00;0x00;ES3;0x00;0x0000;0x0000
550;100;5;-15;1;4096;1.0;1.0;1.0;27.8;-1.03;-0.03;-0.21;0.4;0.1;0.6;0;0;18;7;2024;18;9;29;3;148;3;5;14;2;9;452;3809;257;17;68;3;24;12;4;2;1;19;21;0.1721062793049554;0.37722068693249117;0.523489932885906;0.17449664429530198;0.27810402684563756;0.3634154324760379;0.520492487991006;1.2454372433136331;1.1051454138702463;2.760219646125686;0.22435282837967402;0.5696802210817213;1.0576633337898917;0.523489932885906;0.5234899328859061;0.523489932885906;1.2545707012265679;2.7382550335570466;34;29;29;ES1;0x0000;0x0000;0x00;0x00;ES2;0x00;0x00;ES3;0x00;0x0000;0x0000
550;100;5;-30;1;4096;1.0;1.0;1.0;27.8;-1.04;-0.0;-0.21;0.3;0.1;0.6;0;0;18;7;2024;18;8;9;3;255;2;3;5;2;4;115;878;116;7;59;2;8;5;2;1;1;7;17;0.06678082191780822;0.12994025735294115;0.10848721590909091;0.10156249999999999;0.0714111328125;0.05384960347432025;0.06983375634517766;0.3269706156716418;0.26707175925925924;1.3941761363636362;0.08705357142857144;0.11052389705882354;0.25494260204081626;0.15725806451612903;0.15234375;0.30468749999999994;0.26791487068965514;1.2890625;29;29;29;ES1;0x0000;0x0000;0x00;0x00;ES2;0x00;0x00;ES3;0x00;0x0000;0x0000
550;100;5;-45;1;4096;1.0;1.0;1.0;27.8;-1.01;-0.08;-0.17;0.8;0.0;0.3;0;0;18;7;2024;18;6;39;3;255;1;1;1;1;1;29;253;33;2;10;1;3;1;1;1;0;2;3;0.03339041095890411;0.04480698529411765;0.020774147727272728;0.05078124999999999;0.01904296875;0.013544588908070783;0.020118654822335023;0.09322527985074626;0.07523148148148148;0.23544034090909088;0.04352678571428572;0.04181985294117647;0.04974489795918367;0.07862903225806452;0.15234375;0.0;0.07879849137931036;0.22656249999999994;29;29;29;ES1;0x0000;0x0000;0x00;0x00;ES2;0x00;0x00;ES3;0x00;0x0000;0x0000
550;100;5;-60;1;4096;1.0;1.0;1.0;27.8;-1.03;-0.06;-0.19;0.9;0.1;0.4;0;0;18;7;2024;18;5;19;3;255;0;0;1;0;1;10;100;12;1;3;1;1;1;1;0;0;1;1;0.0;0.0;0.020774147727272728;0.0;0.01904296875;0.004668280643072939;0.007955901015228426;0.03365205223880597;0.03761574074074074;0.0692471590909091;0.04352678571428572;0.014935661764705883;0.04974489795918367;0.07862903225806452;0.0;0.0;0.03677262931034483;0.078125;29;29;29;ES1;0x0000;0x0000;0x00;0x00;ES2;0x00;0x00;ES3;0x00;0x0000;0x0000
550;100;5;-75;1;4096;1.0;1.0;1.0;27.8;-1.03;-0.0;-0.2;0.4;0.1;1.0;0;0;18;7;2024;18;4;9;3;255;0;0;0;0;0;4;33;3;1;1;0;1;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0.0;0.0018410120845921449;0.0026230964467005074;0.008640391791044774;0.03761574074074074;0.023082386363636367;0.0;0.014935661764705883;0.0;0.0;0.0;0.0;0.03677262931034483;0.0;29;29;29;ES1;0x0000;0x0000;0x00;0x00;ES2;0x00;0x00;ES3;0x00;0x0000;0x0000
550;100;5;15;1;4096;1.0;1.0;1.0;27.9;-1.02;-0.02;-0.22;0.6;0.3;0.5;0;0;18;7;2024;18;11;49;3;235;57;17;16;29;43;733;3894;72;5;8;18;23;4;5;3;3;5;2;2.105293707917344;0.8068295114656033;0.37557781201849;1.6096986817325798;0.8340174788135591;0.3720894932810546;0.3359442484728556;0.22001011889704022;0.20401757689893285;0.20531587057010783;0.8498789346246973;0.3467098703888335;0.22258734002075403;0.41580098414434113;0.5164194915254237;0.9614791987673343;0.21084161309175922;0.16101694915254236;29;29;29;ES1;0x0000;0x0000;0x00;0x00;ES2;0x00;0x00;ES3;0x00;0x0000;0x0000
550;100;5;30;1;4096;1.0;1.0;1.0;27.9;-1.03;-0.02;-0.22;0.5;0.1;0.6;0;0;18;7;2024;18;12;49;3;255;25;6;4;12;10;97;700;26;2;3;5;6;2;2;1;1;1;1;0.8514554794520547;0.2643612132352941;0.08771306818181818;0.615017361111111;0.17852783203124997;0.04536779779887786;0.05566656091370558;0.07321595149253732;0.07523148148148148;0.0692471590909091;0.21763392857142858;0.08363970588235294;0.09948979591836735;0.15725806451612903;0.15234375;0.30468749999999994;0.03677262931034483;0.078125;29;29;29;ES1;0x0000;0x0000;0x00;0x00;ES2;0x00;0x00;ES3;0x00;0x0000;0x0000
550;100;5;45;1;4096;1.0;1.0;1.0;27.9;-1.03;-0.03;-0.21;0.5;0.1;0.5;0;0;18;7;2024;18;13;59;3;255;4;2;2;3;3;27;185;10;1;1;2;2;1;1;1;0;1;1;0.13773544520547942;0.0896139705882353;0.04385653409090909;0.15234375;0.054748535156249986;0.012624082865774709;0.014711611675126905;0.028194962686567165;0.03761574074074074;0.023082386363636367;0.08705357142857144;0.02688419117647059;0.04974489795918367;0.07862903225806452;0.15234375;0.0;0.03677262931034483;0.078125;29;29;29;ES1;0x0000;0x0000;0x00;0x00;ES2;0x00;0x00;ES3;0x00;0x0000;0x0000
550;100;5;60;1;4096;1.0;1.0;1.0;27.9;-1.03;-0.04;-0.21;0.9;0.2;0.4;0;0;18;7;2024;18;15;19;3;255;1;1;1;1;1;11;59;3;1;1;0;1;1;1;0;0;0;0;0.03339041095890411;0.04480698529411765;0.020774147727272728;0.05078124999999999;0.01904296875;0.005128533664220976;0.004689403553299492;0.008640391791044774;0.03761574074074074;0.023082386363636367;0.0;0.014935661764705883;0.04974489795918367;0.07862903225806452;0.0;0.0;0.0;0.0;29;29;29;ES1;0x0000;0x0000;0x00;0x00;ES2;0x00;0x00;ES3;0x00;0x0000;0x0000
